=== GNatives Table Dump ===
Table address: 0x10a872bc
Module base: 0xfb60000
  Native[ 279] = 0x1063C5A0 (+0xADC5A0)
  Native[ 280] = 0x107C3408 (+0xC63408)
  Native[ 281] = 0x107C33F4 (+0xC633F4)
  Native[ 282] = 0x10E9895C (+0x133895C)
  Native[ 284] = 0x1086E1C8 (+0xD0E1C8)
  Native[ 285] = 0x10879A88 (+0xD19A88)
  Native[ 286] = 0x10A8773C (+0xF2773C)
  Native[ 287] = 0x1063C600 (+0xADC600)
  Native[ 288] = 0x107C3464 (+0xC63464)
  Native[ 289] = 0x107C3450 (+0xC63450)
  Native[ 290] = 0x10EA62F4 (+0x13462F4)
  Native[ 292] = 0x10879A88 (+0xD19A88)
  Native[ 293] = 0x10882558 (+0xD22558)
  Native[ 294] = 0x10A8775C (+0xF2775C)
  Native[ 295] = 0x1063C660 (+0xADC660)
  Native[ 296] = 0x107C34C0 (+0xC634C0)
  Native[ 297] = 0x107C34AC (+0xC634AC)
  Native[ 298] = 0x10EB47CC (+0x13547CC)
  Native[ 300] = 0x10882558 (+0xD22558)
  Native[ 301] = 0x107910D4 (+0xC310D4)
  Native[ 302] = 0x10A8777C (+0xF2777C)
  Native[ 303] = 0x1063C6C0 (+0xADC6C0)
  Native[ 304] = 0x107C3518 (+0xC63518)
  Native[ 305] = 0x107C3504 (+0xC63504)
  Native[ 306] = 0x10D73378 (+0x1213378)
  Native[ 309] = 0x107829C0 (+0xC229C0)
  Native[ 312] = 0x0000000C (+0xF04A000C)
  Native[ 315] = 0x107C4DE4 (+0xC64DE4)
  Native[ 318] = 0x0000000C (+0xF04A000C)
  Native[ 321] = 0x107C4DF8 (+0xC64DF8)
  Native[ 324] = 0x0000000C (+0xF04A000C)
  Native[ 327] = 0x107C4E00 (+0xC64E00)
  Native[ 330] = 0x0000000C (+0xF04A000C)
  Native[ 333] = 0x107C4E0C (+0xC64E0C)
  Native[ 336] = 0x00000008 (+0xF04A0008)
  Native[ 339] = 0x107A7D00 (+0xC47D00)
  Native[ 342] = 0x00000008 (+0xF04A0008)
  Native[ 345] = 0x107C3538 (+0xC63538)
  Native[ 348] = 0x00020005 (+0xF04C0005)
  Native[ 351] = 0x107C353C (+0xC6353C)
  Native[ 354] = 0x00020005 (+0xF04C0005)
  Native[ 357] = 0x107B4B60 (+0xC54B60)
  Native[ 358] = 0x10D85874 (+0x1225874)
  Native[ 360] = 0x00000019 (+0xF04A0019)
  Native[ 363] = 0x107B4B88 (+0xC54B88)
  Native[ 364] = 0x10D858A4 (+0x12258A4)
  Native[ 366] = 0x00000019 (+0xF04A0019)
  Native[ 369] = 0x107B4CB8 (+0xC54CB8)
  Native[ 372] = 0x0000000B (+0xF04A000B)
  Native[ 375] = 0x107B4CA4 (+0xC54CA4)
  Native[ 378] = 0x0000000B (+0xF04A000B)
  Native[ 381] = 0x107B4CE0 (+0xC54CE0)
  Native[ 384] = 0x0000000B (+0xF04A000B)
  Native[ 387] = 0x107B4CCC (+0xC54CCC)
  Native[ 390] = 0x0000000B (+0xF04A000B)
  Native[ 393] = 0x107829C0 (+0xC229C0)
  Native[ 396] = 0x0000000C (+0xF04A000C)
  Native[ 399] = 0x107C4DE4 (+0xC64DE4)
  Native[ 402] = 0x0000000C (+0xF04A000C)
  Native[ 405] = 0x107C4E0C (+0xC64E0C)
  Native[ 408] = 0x00000008 (+0xF04A0008)
  Native[ 411] = 0x107A7D00 (+0xC47D00)
  Native[ 414] = 0x00000008 (+0xF04A0008)
  Native[ 417] = 0x107C4DEC (+0xC64DEC)
  Native[ 420] = 0x00000008 (+0xF04A0008)
  Native[ 423] = 0x107C4E14 (+0xC64E14)
  Native[ 426] = 0x00000005 (+0xF04A0005)
  Native[ 429] = 0x107C4E2C (+0xC64E2C)
  Native[ 432] = 0x00000005 (+0xF04A0005)
  Native[ 435] = 0x10789F30 (+0xC29F30)
  Native[ 436] = 0x10D85334 (+0x1225334)
  Native[ 438] = 0x00001914 (+0xF04A1914)
  Native[ 441] = 0x1078BCA8 (+0xC2BCA8)
  Native[ 444] = 0x00001413 (+0xF04A1413)
  Native[ 447] = 0x10789F6C (+0xC29F6C)
  Native[ 450] = 0x0000000B (+0xF04A000B)
  Native[ 453] = 0x107C3540 (+0xC63540)
  Native[ 456] = 0x00000001 (+0xF04A0001)
  Native[ 459] = 0x10789F80 (+0xC29F80)
  Native[ 462] = 0x00000001 (+0xF04A0001)
  Native[ 465] = 0x107C354C (+0xC6354C)
  Native[ 468] = 0x00000001 (+0xF04A0001)
  Native[ 471] = 0x107C3568 (+0xC63568)
  Native[ 474] = 0x00001413 (+0xF04A1413)
  Native[ 477] = 0x107805A0 (+0xC205A0)
  Native[ 480] = 0x0000001D (+0xF04A001D)
  Native[ 483] = 0x107B2F6C (+0xC52F6C)
  Native[ 486] = 0x00000010 (+0xF04A0010)
  Native[ 489] = 0x107B2F80 (+0xC52F80)
